etiology,site
16p11_stats_MU_vs_WT_group_cohens_d.nii.gz,1
btbr_stats_MU_vs_WT_group_cohens_d.nii.gz,1
cdkl5ht_stats_MU_vs_WT_group_cohens_d.nii.gz,2
cdkl5ko_stats_MU_vs_WT_group_cohens_d.nii.gz,2
chd8_stats_MU_vs_WT_group_cohens_d.nii.gz,1
cntnp2IIT_stats_MU_vs_WT_group_cohens_d.nii.gz,1
en2_stats_MU_vs_WT_group_cohens_d.nii.gz,2
fmr1_stats_MU_vs_WT_group_cohens_d.nii.gz,2
lgdel30_stats_MU_vs_WT_group_cohens_d.nii.gz,1
lgdel90_stats_MU_vs_WT_group_cohens_d.nii.gz,1
mecp2_stats_MU_vs_WT_group_cohens_d.nii.gz,2
nlgn3ki_stats_MU_vs_WT_group_cohens_d.nii.gz,1
nlgn3ko_stats_MU_vs_WT_group_cohens_d.nii.gz,1
oxtr_stats_MU_vs_WT_group_cohens_d.nii.gz,1
sgsh_stats_MU_vs_WT_group_cohens_d.nii.gz,2
shank3b_stats_MU_vs_WT_group_cohens_d.nii.gz,1
syn2_stats_MU_vs_WT_group_cohens_d.nii.gz,1
trem2_stats_MU_vs_WT_group_cohens_d.nii.gz,2
tsc2_stats_MU_vs_WT_group_cohens_d.nii.gz,1
ube3a_stats_MU_vs_WT_group_cohens_d.nii.gz,1
