"symbol","page?","name","t","p","p_corr","var_explained","var_sd"
"A1BG","1","alpha-1-B glycoprotein",-0.790809473544253,0.464894647265313,0.586892082637195,0.912367707581411,1.05294388386469
"A2M","2","alpha-2-macroglobulin",-2.3146386001613,0.0685098526875597,0.147119246675238,0.854748683301679,0.896026905890252
"NAT1","9","N-acetyltransferase 1 (arylamine N-acetyltransferase)",-2.96870043575181,0.0312038467410427,0.0854936526945524,1.9760918807269,2.78128801932188
"NAT2","10","N-acetyltransferase 2 (arylamine N-acetyltransferase)",-2.34565125231596,0.0659154070314674,0.143189838641772,0.477967152938856,0.58272556059271
"SERPINA3","12","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3",-6.90757537764987,0.000974509330643491,0.00984226474454155,3.22806398930385,1.81183205687897
"AADAC","13","arylacetamide deacetylase (esterase)",-1.14368244179902,0.304539233479707,0.432290156128289,0.185541032424827,0.203858434329327
"AAMP","14","angio-associated, migratory cell protein",1.47589211825034,0.199997929565217,0.317925454187152,1.09819488887448,1.58475995580272
"AANAT","15","aralkylamine N-acetyltransferase",-0.786262447180706,0.467323368540677,0.589063783994606,0.581461331844964,0.716882697001212
"AARS","16","alanyl-tRNA synthetase",2.86630396645642,0.0351462194509462,0.0928787774887896,0.943339630058795,0.832303336763589
"ABAT","18","4-aminobutyrate aminotransferase",3.91393027790492,0.0112504235614915,0.0432038711569783,1.62265273345836,1.23553244005524
"ABCA1","19","ATP-binding cassette, sub-family A (ABC1), member 1",-0.151305886509621,0.885649642724033,0.923362379541803,1.07246743631356,1.63954982745157
"ABCA2","20","ATP-binding cassette, sub-family A (ABC1), member 2",-1.15889206683035,0.298836038290956,0.426759049735786,1.09318152750557,0.99641472600928
"ABCA3","21","ATP-binding cassette, sub-family A (ABC1), member 3",2.11266277350504,0.0883231816709083,0.176163306216961,1.14577166233416,1.73800663866827
"ABCB7","22","ATP-binding cassette, sub-family B (MDR/TAP), member 7",-6.12539651391466,0.00168259225596165,0.0134316609925786,2.88684430473617,1.81179706184616
"ABCF1","23","ATP-binding cassette, sub-family F (GCN20), member 1",4.0428437512667,0.00989493205385987,0.0396107472381527,1.90237564247954,1.80852489126003
"ABCA4","24","ATP-binding cassette, sub-family A (ABC1), member 4",2.89079446331235,0.0341551506582338,0.0910234765041932,1.85190393440542,1.53907387927409
"ABL1","25","c-abl oncogene 1, non-receptor tyrosine kinase",-3.62653491338507,0.0151154294434929,0.0526112654762707,0.773418516167179,0.920691287416907
"ABP1","26","amiloride binding protein 1 (amine oxidase (copper-containing))",-1.33009829294562,0.240926935516517,0.364603362263294,0.747293825363302,0.787171154771078
"ABL2","27","v-abl Abelson murine leukemia viral oncogene homolog 2",2.11111395012285,0.0884967987522536,0.176408031805053,1.32593968603594,1.9100512476547
"ABO","28","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",-1.28448140061315,0.255263986220829,0.380807555732192,0.34520508168639,0.416207122012342
"ABR","29","active BCR-related",11.6417060742972,8.21270527063705e-05,0.002673345827745,6.04001950049567,2.26588724446405
"ACAA1","30","acetyl-CoA acyltransferase 1",-1.03696241004485,0.347276516900085,0.475455243153663,0.785688559990583,0.539207793028892
"ACACA","31","acetyl-CoA carboxylase alpha",4.75947895351991,0.00506176980386618,0.0258881630960631,2.53937871496077,2.34455157710072
"ACACB","32","acetyl-CoA carboxylase beta",-6.41418336121206,0.00136666717891186,0.0119264948144588,2.28265415864558,1.78234315158387
"ACADL","33","acyl-CoA dehydrogenase, long chain",2.87491851498964,0.0347940070706045,0.0923000287106504,0.640332241206425,0.643330278045587
"ACADM","34","acyl-CoA dehydrogenase, C-4 to C-12 straight chain",-0.254841723980321,0.808995254741188,0.867907945928214,1.4840640730825,1.57814504047359
"ACADS","35","acyl-CoA dehydrogenase, C-2 to C-3 short chain",0.899600796888549,0.409564406050887,0.536250030330149,1.26569163658354,1.47962186654787
"ACADSB","36","acyl-CoA dehydrogenase, short/branched chain",-5.33128359668998,0.00311133217805745,0.0190557636963112,1.05091934583014,0.927139504291999
"ACADVL","37","acyl-CoA dehydrogenase, very long chain",-3.62774525710438,0.0150962378212183,0.0525637346046341,1.68315111811432,1.4881082108816
"ACAT1","38","acetyl-CoA acetyltransferase 1",1.38615918113132,0.224332454759022,0.345934624412151,0.624174887021105,1.00726981425875
"ACAT2","39","acetyl-CoA acetyltransferase 2",-1.65823200109523,0.158168376519917,0.267007918148172,1.13599425890472,1.44650912433599
"ACCN1","40","acid-sensing (proton-gated) ion channel 2",3.84765348790093,0.0120297620390624,0.0451702788124982,1.72494653468981,1.78744729851571
"ACCN2","41","acid-sensing (proton-gated) ion channel 1",1.22897517707781,0.273761365030606,0.400695500273991,0.477534303577032,0.330584598009232
"ACHE","43","acetylcholinesterase",-16.8559051924279,1.34370538548837e-05,0.00134062760352886,6.74021415096596,1.93841550952387
"ACLY","47","ATP citrate lyase",-8.36954163764458,0.000398622359312442,0.00598624762718201,2.40600094890446,1.49076548170256
"ACO1","48","aconitase 1, soluble",-2.50850615609208,0.053926345517507,0.124289493765652,1.61718189000415,1.67186350732554
"ACR","49","acrosin",0.426699148787818,0.687346912860196,0.774704781089025,0.453232135623362,0.334900736955386
"ACO2","50","aconitase 2, mitochondrial",1.94218624929938,0.109763035239892,0.205340430881062,1.24998155084809,2.0390895929792
"ACOX1","51","acyl-CoA oxidase 1, palmitoyl",-2.12623097425139,0.0868175413102192,0.174055819747878,1.09789046662466,1.58101652778127
"ACP1","52","acid phosphatase 1, soluble",2.39343422185447,0.0621231717606648,0.137144686850992,0.728532965090402,0.960910358404677
"ACP2","53","acid phosphatase 2, lysosomal",0.312140668768018,0.76753099806082,0.837691213729406,0.947227922201146,0.855119071321878
"ACP5","54","acid phosphatase 5, tartrate resistant",-4.33042190329634,0.00749637781231551,0.0331547245924686,1.08591405802003,1.0610288566556
"ACPP","55","acid phosphatase, prostate",-1.39801017118564,0.220964648083181,0.342060778947355,0.497659143424918,0.323086569154706
"ACRV1","56","acrosomal vesicle protein 1",6.1037655121461,0.00170954642061542,0.0135634891012721,1.47296765484267,1.03357604947564
"ACTA1","58","actin, alpha 1, skeletal muscle",1.9577754401127,0.107593844426602,0.202414121538949,0.618036334842375,0.993633204952115
"ACTA2","59","actin, alpha 2, smooth muscle, aorta",0.861683215999175,0.428242858134218,0.553118198834099,0.899759593115446,0.961719188352526
"ACTB","60","actin, beta",4.23014005909782,0.00824715828870961,0.035274419618808,1.6312593175454,1.35471277940376
"ACTC1","70","actin, alpha, cardiac muscle 1",0.00192964106915361,0.998534991773382,0.998993412470729,0.895371685210185,0.857688527235688
"ACTG1","71","actin, gamma 1",1.70370496577154,0.14916264052861,0.25587092000893,0.691567304170311,0.798027781338994
"ACTG2","72","actin, gamma 2, smooth muscle, enteric",1.31935668233298,0.244234344762879,0.368291572331227,0.929835088857138,0.74593835772436
"ACTN4","81","actinin, alpha 4",3.12884624401078,0.0259912579467324,0.0754897693081914,1.26797889562537,1.84467297707151
"ACTL6A","86","actin-like 6A",-8.25907484228537,0.000424366543654328,0.00621954219708414,3.65458645942511,1.93844318181469
"ACTN1","87","actinin, alpha 1",13.0742267201152,4.67068217134076e-05,0.00214047364665101,8.40840981311177,3.15598731037628
"ACTN2","88","actinin, alpha 2",4.60512860478679,0.00581320925508555,0.0282198683146808,1.43763434820415,1.19830147246586
"ACTN3","89","actinin, alpha 3",5.63906711326807,0.00243245297153077,0.0164970309687472,1.70806591110647,1.24246687079177
"ACVR1","90","activin A receptor, type I",-3.92804965978925,0.0110919869246168,0.0428070760594263,1.64833030177141,1.37834781861239
"ACVR1B","91","activin A receptor, type IB",-2.86703049280075,0.0351163622154454,0.0928589010777843,0.4545779067713,0.551344365848904
"ACVR2A","92","activin A receptor, type IIA",0.541514233952952,0.611400592586128,0.713197761957791,1.01232014603432,0.687023530378474
"ACVR2B","93","activin A receptor, type IIB",-0.287344160032548,0.785376934316377,0.85166833604437,0.40388696926525,0.563777226510949
"ACVRL1","94","activin A receptor type II-like 1",-5.05213690327338,0.00392614578468575,0.022145561521045,0.559948064775875,0.500965790777261
"ACY1","95","aminoacylase 1",-2.77413388311887,0.0391730877406503,0.0997625943009601,2.60470235607901,2.57597033543356
"ACYP1","97","acylphosphatase 1, erythrocyte (common) type",-0.0933690104432942,0.929236335314417,0.952373321279005,0.479037226089337,0.463846940019961
"ACYP2","98","acylphosphatase 2, muscle type",-2.07844248906709,0.0922443165210393,0.181509815849113,1.50326198499587,2.30524795586404
"ADA","100","adenosine deaminase",2.75310847200614,0.0401617293934363,0.101401964884897,0.896647832220071,1.62041924386585
"ADAM8","101","ADAM metallopeptidase domain 8",-2.05693676705647,0.0948020357734842,0.184777301230513,0.451385938209681,0.338457955660167
"ADAM10","102","ADAM metallopeptidase domain 10",-2.25150378958268,0.0741369981873192,0.155555241881478,2.56806748472558,1.96683614086168
"ADAR","103","adenosine deaminase, RNA-specific",1.53656524198901,0.185001846755045,0.299324741321389,1.41591416760201,2.57810213061332
"ADARB1","104","adenosine deaminase, RNA-specific, B1",0.746751750795065,0.488817673064519,0.608555606994799,0.482588693313731,0.45492341602855
"ADARB2","105","adenosine deaminase, RNA-specific, B2",-0.1206057096632,0.908699982302416,0.939401343935929,0.848976277812914,0.824707620212175
"ADCY1","107","adenylate cyclase 1 (brain)",13.7326360603507,3.67427444514029e-05,0.00194343875041046,3.58750528149634,1.10182475326108
"ADCY2","108","adenylate cyclase 2 (brain)",4.447032908042,0.00672081531955885,0.0309219982398561,3.39180750555546,2.19400375712506
"ADCY3","109","adenylate cyclase 3",5.72977018383079,0.00226669642416789,0.015886243857083,1.84285357346953,1.1776374202034
"ADCY5","111","adenylate cyclase 5",4.81805630005722,0.00480664190910797,0.0250603625193447,1.99030639951657,1.61613070770797
"ADCY6","112","adenylate cyclase 6",3.78545967360893,0.0128179219540375,0.0471836627693603,0.944026980656925,0.97477352770778
"ADCY7","113","adenylate cyclase 7",-0.00605625037812077,0.995402047411297,0.997273103891394,0.344517887046375,0.359175304022746
"ADCY8","114","adenylate cyclase 8 (brain)",-6.35704397703366,0.0014232053268089,0.0121795673645025,1.31654972073355,1.10040552537011
"ADCY9","115","adenylate cyclase 9",4.63545479306868,0.00565584204791109,0.0277544826841189,0.870159444964382,0.790280775329475
"ADCYAP1","116","adenylate cyclase activating polypeptide 1 (pituitary)",-1.61598080025731,0.167020644764987,0.277859795336517,0.374900096075665,0.854721985440304
"ADCYAP1R1","117","adenylate cyclase activating polypeptide 1 (pituitary) receptor type I",-4.79167015067609,0.00491966371719176,0.0254264171281117,2.90011742846673,2.57572953814535
"ADD1","118","adducin 1 (alpha)",2.98243737362833,0.0307135676601038,0.084651674748154,1.98493924332178,2.21262971368676
"ADD2","119","adducin 2 (beta)",1.86725853362932,0.120838395021955,0.219741730147964,0.541205946402059,0.779617463882932
"ADD3","120","adducin 3 (gamma)",1.95320206875861,0.108225563340357,0.203294255995141,1.80766455604351,1.63961011601994
"ADFP","123","perilipin 2",1.55778965852373,0.180018461791961,0.293398397579597,0.707283169931304,1.3532271187917
"ADH1C","124","alcohol dehydrogenase 1A (class I), alpha polypeptide",-2.55899134378734,0.0507087040346944,0.118841267947037,0.791189185767192,0.997787113842265
"ADH1B","125","alcohol dehydrogenase 1B (class I), beta polypeptide",-0.276147420370648,0.793485253025447,0.857553184706248,0.38052311404263,0.496038103286548
"ADH1C","126","alcohol dehydrogenase 1C (class I), gamma polypeptide",-2.87634557467873,0.0347360407154627,0.0922003690524643,1.08079584188607,1.69181259525829
"ADH4","127","alcohol dehydrogenase 4 (class II), pi polypeptide",-2.75351321300022,0.0401424392918923,0.101401964884897,0.827785752713084,0.970782776539534
"ADH5","128","alcohol dehydrogenase 5 (class III), chi polypeptide",-1.29534081705841,0.251781394274111,0.376991993285021,0.991700741409487,1.68163086309395
"ADH6","130","alcohol dehydrogenase 6 (class V)",-0.160381514882449,0.878858771833247,0.918493579190433,0.620460876608146,0.551457253312371
"ADH7","131","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",1.80557728481613,0.130814981352116,0.232912292708045,0.150411208847198,0.206053195141043
"ADK","132","adenosine kinase",-0.41271414929176,0.696916910962379,0.782817023029016,0.627941185733626,0.517546392540624
"ADM","133","adrenomedullin",-2.55748270306511,0.0508017560388246,0.118987729890597,1.43192609834208,1.65824868627927
"ADORA1","134","adenosine A1 receptor",4.48054336271207,0.00651543731436597,0.0303193184360254,2.66049930225438,2.19632328265104
"ADORA2A","135","adenosine A2a receptor",4.14046348231709,0.00899298556878443,0.0372459037693409,0.382927821701857,0.395780685195161
"ADORA2B","136","adenosine A2b receptor",2.38150520769146,0.0630472960382099,0.138420378405816,5.37081071749055,4.76062030772789
"ADORA3","140","adenosine A3 receptor",-1.38710600159386,0.224061619262136,0.345619536925053,1.56737602130897,3.03724753349276
"ADPRH","141","ADP-ribosylarginine hydrolase",-4.7730087044719,0.0050014687064475,0.0256768411955851,2.13116418695392,1.8722374645008
"PARP1","142","poly (ADP-ribose) polymerase 1",-3.38909656168965,0.0194804351861063,0.062461793338515,0.581643675095985,0.441628979728558
"PARP4","143","poly (ADP-ribose) polymerase family, member 4",-0.89432517350126,0.4121244280639,0.538686098090139,0.516935481190267,0.357012899137263
"ADRA1D","146","adrenoceptor alpha 1D",-1.63950952988194,0.162032054202398,0.271713481018494,0.70656814411358,0.894275122527502
"ADRA1B","147","adrenoceptor alpha 1B",7.95572578175485,0.00050589618741363,0.00688035642190457,2.2632189991586,1.32334929588239
"ADRA1A","148","adrenoceptor alpha 1A",-0.900739715660195,0.409013383345639,0.535805470103718,0.481018254155958,0.68508576361066
"ADRA2A","150","adrenoceptor alpha 2A",-0.769728808351294,0.476232806499572,0.597097056477026,0.22347351341262,0.184211885872281
"ADRA2B","151","adrenoceptor alpha 2B",2.62926841581048,0.0465743084215352,0.112237370610873,0.50558021886299,0.65552332839805
"ADRA2C","152","adrenoceptor alpha 2C",3.66114246819927,0.0145775012218375,0.0513684553141781,1.09863703661462,1.17490370934612
"ADRB1","153","adrenoceptor beta 1",9.5784284666352,0.000210090758417536,0.00435409431228846,5.12145079486055,2.49483460056851
"ADRB2","154","adrenoceptor beta 2, surface",-3.26213371469375,0.0223926826266122,0.0685734669651427,0.803518128479816,0.600433851589057
"ADRB3","155","adrenoceptor beta 3",-3.22226094105187,0.0234066156502093,0.0705193547132107,1.69730254348176,0.886564475620793
"ADRBK1","156","adrenergic, beta, receptor kinase 1",4.14926224068547,0.00891645777873755,0.0370100654645802,0.959134953346111,1.0430518889833
"ADRBK2","157","adrenergic, beta, receptor kinase 2",13.1258292764948,4.58178153119411e-05,0.00212592617609223,4.33138112344118,1.47501571538053
"ADSL","158","adenylosuccinate lyase",0.0966193636704541,0.926781937871979,0.950654633236854,1.22528832244242,1.43447784565984
"ADSS","159","adenylosuccinate synthase",-2.44961978759279,0.0579635020340091,0.130646970365144,1.86682967463986,1.92426140292207
"AP2A1","160","adaptor-related protein complex 2, alpha 1 subunit",1.2193906505864,0.277075587316247,0.404606268601533,0.71075012066379,1.07346204028217
"AP2A2","161","adaptor-related protein complex 2, alpha 2 subunit",2.76114430018088,0.0397806508639444,0.100868552025959,0.740224469439969,0.57806112068747
"AP1B1","162","adaptor-related protein complex 1, beta 1 subunit",1.06467115763174,0.335715202594982,0.464243741108429,0.831647483475945,1.04482131907611
